country_school,id,country,lat,lng,n_trials,n_positive
cotedivoire-374,374,cotedivoire,8.45042,-6.26983,35,0
cotedivoire-375,375,cotedivoire,8.19248,-5.79969,30,0
cotedivoire-376,376,cotedivoire,6.45156,-5.34239,32,1
cotedivoire-377,377,cotedivoire,7.77341,-6.0584,30,0
cotedivoire-378,378,cotedivoire,6.57547,-5.84152,32,0
cotedivoire-38,38,cotedivoire,5.31243,-4.0437,34,0
cotedivoire-380,380,cotedivoire,5.24714,-3.92049,31,0
cotedivoire-381,381,cotedivoire,5.28621,-4.30518,30,2
cotedivoire-382,382,cotedivoire,5.20034,-4.35532,30,0
cotedivoire-384,384,cotedivoire,5.31313,-3.95114,32,0
cotedivoire-385,385,cotedivoire,5.25697,-4.36421,30,0
cotedivoire-386,386,cotedivoire,5.3086,-3.95022,31,0
cotedivoire-387,387,cotedivoire,5.30458,-4.37763,28,0
cotedivoire-388,388,cotedivoire,5.30451,-4.37708,30,0
cotedivoire-389,389,cotedivoire,5.24552,-3.91136,31,0
cotedivoire-390,390,cotedivoire,5.32224,-4.38294,31,1
cotedivoire-391,391,cotedivoire,5.29913,-3.95158,30,0
cotedivoire-392,392,cotedivoire,5.24922,-3.94392,30,0
cotedivoire-393,393,cotedivoire,5.3156,-4.24529,35,2
cotedivoire-395,395,cotedivoire,5.2095,-4.40817,31,2
cotedivoire-396,396,cotedivoire,5.26004,-3.96268,32,4
cotedivoire-397,397,cotedivoire,5.20319,-4.41822,32,0
cotedivoire-398,398,cotedivoire,5.25075,-4.39868,31,0
cotedivoire-399,399,cotedivoire,5.32137,-4.38614,30,0
cotedivoire-4,4,cotedivoire,6.3248,-3.44416,30,0
cotedivoire-400,400,cotedivoire,5.25299,-3.91453,30,0
cotedivoire-401,401,cotedivoire,5.30419,-4.37712,30,0
cotedivoire-402,402,cotedivoire,5.2522,-4.61506,34,0
cotedivoire-403,403,cotedivoire,5.2471,-4.30792,35,0
cotedivoire-404,404,cotedivoire,5.24151,-4.24898,31,0
cotedivoire-405,405,cotedivoire,5.31831,-4.37808,29,0
cotedivoire-407,407,cotedivoire,5.2991,-3.95202,30,0
cotedivoire-408,408,cotedivoire,5.31577,-4.72392,32,0
cotedivoire-409,409,cotedivoire,5.26214,-4.72286,32,0
cotedivoire-41,41,cotedivoire,8.23364,-2.57725,30,0
cotedivoire-410,410,cotedivoire,5.2497,-4.32082,32,0
cotedivoire-411,411,cotedivoire,5.36357,-4.61605,31,0
cotedivoire-412,412,cotedivoire,5.20876,-4.4086,30,0
cotedivoire-413,413,cotedivoire,6.37472,-5.54565,33,0
cotedivoire-415,415,cotedivoire,8.32343,-5.60354,30,1
cotedivoire-417,417,cotedivoire,6.39475,-5.53418,32,0
cotedivoire-418,418,cotedivoire,6.37476,-5.54317,33,1
cotedivoire-42,42,cotedivoire,6.3039,-3.23036,30,0
cotedivoire-421,421,cotedivoire,8.89827,-6.25548,35,3
cotedivoire-422,422,cotedivoire,9.03233,-6.4635,34,1
cotedivoire-423,423,cotedivoire,8.21413,-5.66478,31,0
cotedivoire-425,425,cotedivoire,5.30547,-3.9443,30,0
cotedivoire-426,426,cotedivoire,5.16774,-4.70015,31,0
cotedivoire-428,428,cotedivoire,5.28277,-3.9665,30,0
cotedivoire-429,429,cotedivoire,5.33468,-4.17724,30,0
cotedivoire-43,43,cotedivoire,6.21546,-3.31044,30,0
cotedivoire-430,430,cotedivoire,5.29926,-3.96013,30,0
cotedivoire-431,431,cotedivoire,5.29877,-3.96464,32,0
cotedivoire-432,432,cotedivoire,5.28899,-3.96274,31,0
cotedivoire-433,433,cotedivoire,5.21503,-4.69847,31,0
cotedivoire-434,434,cotedivoire,5.3158,-4.5627,33,2
cotedivoire-435,435,cotedivoire,5.29699,-4.48581,30,0
cotedivoire-436,436,cotedivoire,8.79388,-6.5984,35,0
cotedivoire-437,437,cotedivoire,6.31865,-6.42237,32,12
cotedivoire-438,438,cotedivoire,8.1597,-6.55385,30,1
cotedivoire-44,44,cotedivoire,6.07954,-3.40365,30,0
cotedivoire-440,440,cotedivoire,6.28096,-6.36047,32,0
cotedivoire-441,441,cotedivoire,6.26501,-6.57061,32,2
cotedivoire-442,442,cotedivoire,6.44851,-6.54759,32,21
cotedivoire-443,443,cotedivoire,8.12262,-6.54219,30,1
cotedivoire-444,444,cotedivoire,7.89967,-6.65918,30,0
cotedivoire-445,445,cotedivoire,6.49556,-6.57631,33,1
cotedivoire-446,446,cotedivoire,8.6972,-6.61978,32,0
cotedivoire-447,447,cotedivoire,6.48361,-6.58718,31,5
cotedivoire-448,448,cotedivoire,6.28088,-6.36063,32,0
cotedivoire-449,449,cotedivoire,8.03555,-7.00534,31,0
cotedivoire-45,45,cotedivoire,6.07718,-3.40773,30,0
